你是一个游戏本地化质检专家。请审查以下中英对照翻译，检查：
1. 错译 / 英文不自然
2. 漏译 / 语义偏差
3. 代码、标签（如 {icon1}、[color=xxx][/color]）、占位符格式错误
4. 术语一致性 — 必须使用标准术语表中的译法
5. 术语语法 — 检查术语的大小写（句首/句中）、单复数、冠词搭配

规则：
- 只列出需要修改的行
- 格式严格为：ID | 修正版译文
- 没有问题的行不要列出
- 如果全部没问题，回复"无需修改"

---以下是待审查内容（第4批，共4批）---

ID | 原文 | 译文
1857 | 请输入驱逐原因（选择“其他”时必填） | Please enter a reason for removal（Required when “Other” is selected）
1858 | 请正确输入【解散】二字! | Please enter the two characters 【解散】 correctly!
1859 | 您今日已达领取上限 | You’ve reached today’s claim limit
1860 | 没有可帮助的人 | No one to help
1861 | 不能帮助自己 | Cannot help myself/not help myself
1862 | 请选择弹劾原因： | Please select an impeachment reason:
1863 | 邀请成功！ | Invitation successful!
1864 | 今日邀请次数已用完 | You’ve used up today’s invite attempts
1865 | 筛选过于频繁，请3秒后再试 | You’re filtering too frequently. Please try again in 3s
1866 | 已经加入了联盟 | Already joined the Alliance
1867 | 未建设联盟中心无法加入联盟 | You must build an Alliance Center before you can join an Alliance
1868 | 您尚未满足入盟条件，无法加入 | You don’t meet the requirements to join the alliance and cannot join
1869 | 您已加入联盟 | You have joined an Alliance
1870 | 不能对自己进行操作 | You can’t perform this action on yourself
1871 | 暂时无法获取该领主信息 | Unable to retrieve this lord’s Detail for now
1872 | 该玩家尚未开启世界地图功能，无法定位 | This player has not unlocked the world map feature yet and cannot be located
1873 | 联盟名字必须使用中文 | Alliance names must be in Chinese
1874 | 内容过长 | Content is too long
1875 | 集结队伍行军中，无法退出集结 | The Rally is marching and you cannot leave the Rally
1876 | 已经参与了该集结 | Already joined this Rally
1877 | 可集结的兵力已达上限 | Rally capacity limit reached
1878 | 不能解散已出发的集结部队 | You can’t disband a Rally that has already departed
1879 | 未加入联盟 | Not in an Alliance
1880 | 今日在世界频道中分享联盟的次数已达上限 | You’ve reached today’s share limit for the Alliance in World Chat
1881 | 主题内容包含敏感词，请重新输入 | Your topic contains sensitive content. Please enter it again
1882 | 有空选项，请补充输入 | There is an empty field. Please fill it in
1883 | 选项包含敏感词，请重新输入 | The option contains sensitive words. Please enter it again
1884 | 最多设置{num}个投票选项 | You can set up to {num} poll options
1885 | 最少设置{num}个投票选项 | Set at least {num} voting options
1886 | 只有盟主或官员才可发起投票 | Only the Alliance Leader or Officers can start a vote
1887 | 您的选项没有变化 | Your options haven’t changed
1888 | 至少选择一个投票选项 | Select at least one option
1889 | 联盟不存在 | Alliance does not exist
1890 | 加入联盟满47小时后才能参加 | You can only participate after being in the Alliance for 47 hr
1891 | 未满足加入联盟条件，无法加入 | You don’t meet the requirements to join an Alliance and cannot join
1892 | 选择时间与尸潮来袭活动时间重叠，请重新选择 | The selected time overlaps with the Horde Onslaught event time. Please choose again
1893 | 活动即将开启，不可修改预约 | Events is about to start, reservations can’t be changed
1894 | 当前阶段不可捐献 | Donations are not available at this stage
1895 | 需要先建造捕熊陷阱才能进行捐献 | You need to build a bear trap before you can make a donation
1896 | 尚未建造捕熊陷阱 | Bear trap not yet built
1897 | 已开启特权等级显示，其他领主可以查看您的特权等级 | Privilege level display enabled. Other Lords can view your privilege level
1898 | 已关闭特权等级显示，其他领主无法查看您的特权等级 | Privilege level display is disabled; other Lords cannot see your privilege level
1899 | 统帅已达到最高等级 | Commander has reached the maximum level
1900 | 该商店未解锁，请先建造市集 | This Shop is not unlocked. Build a Market first
1901 | 成功购买 | Purchase Successful
1902 | 领取失败 | Claim failed
1903 | 竞拍结束，奖励将通过邮件发放 | When the auction ends, rewards will be sent via Mail
1904 | 活动已结束，不能进入奇观战场 | Events have ended. You can no longer enter the Wonder Battlefield
1905 | 拍卖未开始 | Auction has not started
1906 | 当前领主处于奇观争夺活动中，已为您回到战场 | The current Lord is participating in a Wonder Conquest Event and has returned to the battlefield for you
1907 | 有其他成员已出价，请重新出价 | Another member has already placed a bid. Please bid again
1908 | 竞价成功 | Bid Successful
1909 | 奇观准备阶段内, 战场内不可进行迁城、援助、出征等战斗操作 | During the Wonder preparation phase, no combat operations such as relocation, reinforcement, or deployment can be performed on the battlefield
1910 | 暂无广告可观看，请耐心等待 | No ads are currently available. Please wait
1911 | 广告组件审核中，请耐心等待 | The ad module is under review, please wait
1912 | 广告播放超时,请重试 | Ad playback timed out, please try again
1913 | 检测到您世界地图当前卡顿严重，系统自动为您开启简化模式 | We’ve detected severe lag on your world map. Simplified mode has been enabled automatically
