你是一个游戏本地化质检专家。请审查以下中英对照翻译，检查：
1. 错译 / 英文不自然
2. 漏译 / 语义偏差
3. 代码、标签（如 {icon1}、[color=xxx][/color]）、占位符格式错误
4. 术语一致性 — 必须使用标准术语表中的译法
5. 术语语法 — 检查术语的大小写（句首/句中）、单复数、冠词搭配

规则：
- 只列出需要修改的行
- 格式严格为：ID | 修正版译文
- 没有问题的行不要列出
- 如果全部没问题，回复"无需修改"

---以下是待审查内容（第1批，共4批）---

ID | 原文 | 译文
180 | 现在就按照您的心意，<font color =#0b9303>创建或加入联盟</font>吧。 | Create or <font color =#0b9303>join an Alliance</font> now.
181 | 升级时间较长，试试向盟友求助吧！ | The Upgrade will take a while—try asking your allies for help!
182 | 就是这样！继续升级联盟大厅可以提升帮助效果，当然大人也别忘了在盟友需要的时候给予盟友帮助。 | That’s it! Keep upgrading the Embassy to improve the help effect, and of course, don’t forget to lend a hand to your allies when they need it.
183 | 我们的勇士已经对目前的战斗运作体系十分熟悉了，接下来就可以<font color =#0b9303>自动挑战BOSS</font>了。 | Our warriors are already very familiar with the current combat system, so now they can <font color =#0b9303>auto-challenge the Boss</font>.
184 | 嗯嗯！看我直接暴揍丧尸BOSS。 | Yeah! Watch me beat the crap out of that zombie boss.
185 | 汉堡，我的射箭技术总是练不好，我想要一个武器，能让我在一个<font color =#0b9303>不远不近</font>的距离攻击怪物。 | Hamburg, my archery is never any good. I want a weapon that lets me Attack monsters at a<font color =#0b9303>medium</font>distance.
186 | 那我想<font color =#0b9303>长矛</font>正好适合你！ | Then I think this <font color =#0b9303>spear</font> is just right for you!
187 | 嘀嘀嘀—— | Beep beep beep—
188 | 雷达刚装好，立即就收到了第一条情报信息，我们这就去看看！ | The radar’s just been set up, and we’ve already received our first Intel Detail, so let’s go check it out!
189 | 我们曾经在兵营受训，可以前往废土世界中进行战斗，我们随时做好出征的准备。 | We once trained in the barracks so we could fight in the Wasteland, and we’re always ready to march out.
190 | 确实，避难所的发展不仅需要有能守卫的勇士，还需要有能出征的士兵，欢迎你们的加入。 | You’re right—the Growth of our shelter depends not only on brave warriors who can defend it, but also on soldiers who can march out to fight. We’re glad to have you with us.
191 | 情报站显示这里附近有游荡的丧尸，我们立即出兵出征剿灭他们。 | The Intel Hub shows there are wandering zombies nearby, so we’ll deploy our troops at once to wipe them out.
192 | 有了雷达后，我们与外面的世界联系多了起来，发现避难所周围有<font color =#0b9303>许多丧尸</font>。 | Once we had the radar, we started connecting with the outside world much more and discovered there are <font color =#0b9303> a lot of zombies </font> around the shelter.
193 | 我们现在士兵严重不足，很难对付外面的大片丧尸，赶紧<font color =#0b9303>建造盾兵营</font>，训练一些士兵。 | We’re critically low on soldiers right now, so it’s hard to deal with the massive horde of zombies outside. Hurry up and <font color =#0b9303>build an Infantry Camp</font> to train some soldiers.
194 | 终于建成了，盾兵可以守卫我们的避难所，也可以外出作战获取资源。 | It’s finally complete. Our Infantry can now defend the shelter and head out to fight for resources.
195 | 事不宜迟，让我们立即训练第一批盾兵吧。 | No time to waste, let’s start training our first batch of Infantry right away.
196 | 想要加快地下避难所的发展，离不开科技的支持。 | If you want to speed up the underground shelter’s Growth, you can’t do it without technological support.
197 | 好提议！我这就建造一个研究院，进行科技研究。 | Great idea! I’ll build a Research Institute right away and start doing technology research.
198 | 研究院顺利完工！快来启动科技研究吧！ | The Research Institute is complete! Start your tech research now!
199 | 在上次出征攻打丧尸的过程中，我们不少士兵都受伤了。 | During our last expedition against the zombies, many of our soldiers were wounded.
200 | 我们应该在避难所中专门建造一个治疗受伤士兵的军医所。 | We should build a dedicated Infirmary in the shelter to treat our wounded soldiers.
201 | 首先我们需要新开辟一些空房间，交给我吧，很快完成！ | First we’ll need to clear out some new rooms. Leave it to me, I’ll have it done in no time!
202 | 事不宜迟，我们立即对受伤的士兵进行治疗！ | No time to lose, let’s treat the wounded soldiers at once!
203 | 根据核心能量流动探测到的信息，这个地方有金矿。 | According to the core energy flow readings, there’s a Gold Mine here.
204 | 是金子，快快开辟出来，我们就可以不用只靠丧尸爆金币啦！ | If that’s real Gold, hurry up and mine it out, then we won’t have to rely on zombies dropping Gold anymore!
205 | 太好了，一座取之不尽的金矿，我可以升级我的工作台咯。 | Awesome, an endless Gold Mine—I can upgrade my workbench now.
206 | 哈哈，可不能只有你用，所有建筑都需要金币来升级。 | Haha, you’re not the only one who gets to use it—every building needs Gold to Upgrade.
207 | 我们避难所的规模真是越来越大了，现在我在避难所里闲逛都偶尔会迷路呢。 | Our shelter just keeps getting bigger and bigger—these days I even lose my way sometimes when I’m wandering around inside.
208 | 哈哈！我们的开发计划还没停下来呢，我还计划着建个商店、建个展览馆、建个.... | Haha! Our dev plans haven’t slowed down yet. I’m still planning to build a Shop, an exhibition hall, and a...
209 | 看来我还得继续挖呀挖呀，挖好多好多洞... | Looks like I still have to keep digging and digging, and dig a whole lot more holes...
210 | 我们可以把锻造台<font color =#0b9303>拓宽</font>，多加1名铁匠一起进行装备打造，这样可以大大<font color =#0b9303>缩短勇士排队等待的时间</font>。 | We can expand the forge<font color =#0b9303></font> and bring in one more blacksmith to craft gear at the same time, which will greatly<font color =#0b9303> reduce the warriors’ queueing</font>.
211 | 废土上最近正在流行擂台比武，大家在擂台上友好切磋，可以增进战斗实力，更好地对付丧尸。 | Duel matches in the Ring have become popular out in the wasteland lately. Friendly sparring in the Ring helps everyone sharpen their combat skills and deal with the zombies more effectively.
212 | 我们的搭配简直是天作之合，相信我们能在擂台中取胜。迫不及待了！赶紧开地建造一个擂台吧！ | Our synergy is absolutely perfect—I’m sure we can win in the Ring. I can’t wait! Hurry up and Expand More Zone to build a Ring!
213 | 我们的避难所建设的真好！ | We’ve built our shelter really well!
214 | 好好好，伙计们，继续开挖吧，避难所的建设还要继续！ | Alright, alright, alright, folks, keep digging, we still need to keep building the shelter!
215 | 我们的战斗实力越来越强，现在正适合建造一个擂台，与其他避难所的英雄们切磋一下。 | Our combat power keeps growing, so this is the perfect time to build a Ring and spar with Heros from other shelters.
216 | 我喜欢这个提议！ | I like this idea!
217 | 令人激动的擂台！让我看看是谁敢来挑战我们！ | An electrifying Ring! Let me see who’s got the guts to challenge us!
218 | 哈哈浩克先等一下，我们首先需要设置好防守阵容，以便随时迎接挑战。 | Hang on a sec, Hulk—first we need to get our defense lineup in place so we’re ready for any challenge.
219 | 一切准备就绪！现在就让我们主动出击，去<font color =#0b9303>挑战</font>别人吧！ | Everything’s ready! Let’s take the initiative and attack <font color =#0b9303> others and challenge </font>!
220 | 我们出征世界地图，击败丧尸时搜刮到了一些战利品。战利品统一存放起来了，请定时领取。 | When we set out on the World Map and Slay Zombies, we picked up some loot. All loot has been stored together, so remember to Claim it regularly.
221 | 避难所的规模逐渐扩大，适时颁布一些<font color =#0b9303>政令</font>，对避难所的发展至关重要。 | As the shelter gradually expands in scale, issuing certain <font color =#0b9303>decrees</font> at the right time is crucial to its development.
222 | 每天可以在储藏室<font color =#0b9303>领取体力</font>到外面探索，不用担心没有体力无法完成情报任务了。 | You can claim Stamina</font> from the Storehouse<font color =#0b9303> every day to explore outside, so you no longer need to worry about running out of Stamina and being unable to complete Intel missions.
223 | 大地图出征也需要讲究兵种配合，只有盾兵士兵可不行。继续开辟地块吧，我还需要建造一个矛兵营。 | You also need to coordinate your troop types when marching on the world map—relying on only Infantry won’t cut it. Keep expanding our territory; I still need to build a Lancer Camp.
224 | 没问题！开地就交给我吧！ | No problem! Leave the Expand More Zone to me!
225 | 哈哈！我们的堡垒已逐步完善，接下来我打算建造一些娱乐相关的房间，这可关系到鼠民们的福祉。 | Ha ha! Our fortress is coming together nicely, and next I’m planning to build a few entertainment rooms—this has everything to do with the well-being of our mousefolk.
226 | 没问题！我们继续往下开挖！ | No problem! Let’s keep digging!
227 | 我最近研究出了一种全新的药剂，听着，我们可以从丧尸身上提取出一些神奇的药剂，用来治疗濒死的土拨鼠。 | I’ve recently researched a brand-new potion. Listen, we can extract a remarkable elixir from zombies and use it to treat groundhogs on the verge of death.
228 | 不愧是你，科学怪老头！噢不，我是说，您真是一位出色的科学家！我这就继续挖个房间出来，准备建造一个<font color =#0b9303>生化医院</font>！ | That’s so you, you mad scientist geezer! Oh no, I mean, you truly are an outstanding scientist! I’ll go dig out another room right away and get ready to build a <font color =#0b9303>Biohazard Hospital</font>!
229 | 噢！这看起来是个机甲——没错吧？不是什么破铜烂铁的...... | Oh! That looks like a mech—right? Not just some pile of scrap...
230 | 这坚硬的材质，和独特的造型，是机甲没错，不过只是一部分的机甲。 | That hard material and unique shape are definitely from a mech, but it’s only a part of one.
231 | 是机甲就好！我要把这个拿给亚力斯特，他一定会开心的。 | As long as it’s a mech, I’m in! I’m taking this to Alistair—he’s going to love it.
232 | 我们在开地的过程中找到了这个，亚力斯特。 | We found this while we were expanding the Expand More Zone, Alistair.
233 | 没错，这是我的机甲！让我检查下，机甲的手臂、腿...这些都没了！不过能找回这个也不错了，谢啦！ | Yeah, that’s my mech, all right! Lemme check... the arms, the legs... all gone! Still, getting even this much back isn’t bad. Thanks!
234 | 别着急，我还会继续开地帮你寻找机甲的！ | Don’t worry, I’ll keep Expand More Zone to help you look for that mech!
235 | 看看这炮口，曾经我用它轰炸过无数的丧尸！虽然现在只有一只手臂，我想应该也是能打的。 | Look at this barrel—I’ve used it to blast apart more zombies than I can count! Even with just one arm now, I’d say I can still handle it.
236 | 等我给你找回全部的机甲！可一定要用它狠狠轰炸丧尸！守护我们的堡垒！ | I’ll get all your mechs back for you! But you’ve got to use them to blast those zombies to pieces! Protect our fortress!
237 | 看，亚力斯特，我们找回了另外一只手臂。 | Look, Alistair, we’ve recovered another arm.
238 | 哈哈！火力值达标！现在是时候想想办法让机甲动起来了。 | Haha! Power level’s on point! Now it’s time to figure out how to get this mech moving.
239 | 左腿组装完毕！ | Left leg assembly complete!
240 | 看起来机甲已经找回大半了，相信很快就能看到你驾驶机甲的样子了。 | Looks like we’ve recovered most of the mech already. I’m sure it won’t be long before we see you piloting it.
241 | 右腿也找回来了，现在是不是可以启动机甲啦？ | We’ve got the right leg back too—does that mean we can boot up the mech now?
242 | 不行，现在还差最后也是最重要的一个部件——操控杆。有了操控杆，才能在驾驶室控制机甲进行移动和和攻击。 | No, we’re still missing the last and most important component—the control stick. With the control stick installed, you can operate the mech from the cockpit to move and attack.
243 | 好的！继续挖吧伙计们！掘地三尺也要把这个操控杆找出来！ | Alright! Keep digging, folks! I don’t care if you have to dig three feet down, we’re gonna find that control lever!
244 | 机甲的操纵杆也组装好了，没想到你居然真的可以驾驶这么酷的机甲，快去试试吧！ | The mech’s control stick is assembled too. I didn’t expect you’d actually get to pilot such a cool machine—go give it a try!
245 | 哈！机甲启动！机甲战士登场！让我们开始轰炸丧尸吧！ | Ha! Mech online! Mecha warrior on the field! Let’s start bombing those zombies!
246 | 来者何人？ | Who goes there?
247 | 我们是一群流浪的土拨鼠，刚才远远看到这里爆发了蓝色的光芒，推测这里有避难所，所以前来投靠。 | We’re a band of wandering marmots. We saw a burst of blue light from afar just now and figured there must be a shelter here, so we came hoping to take refuge.
248 | 蓝色的光芒？可能是主控室升级后，核心释放出来的能量吸引了他们。 | Blue light? It might be that after the main control room Upgrade, the energy released from the core started drawing them in.
249 | 守卫避难所和发展避难所都需要帮手，招收一些幸存鼠也是好的。 | We’ll need some extra paws to both defend the shelter and drive its Growth, so recruiting a few survivor mice isn’t a bad idea.
250 | 不过避难所可不收闲鼠，让我看看你们都有什么特长。 | But this shelter doesn’t take in idle rats. Let me see what you’re actually good at.
251 | 终于完工了！我们有家了~ | It’s finally finished! We have a home now~
252 | 最近铁匠一直忙着开地、建造房间，还要打造武器，一定累坏了，好好睡一觉休息下吧。 | The blacksmith’s been busy Expanding More Zone, building rooms, and forging weapons lately. He must be exhausted—let him get a good night’s sleep and some rest.
253 | 嘿嘿~等我养足精神，一定给你们打造更好的武器。 | Hehe~ Once I’m fully recharged, I’ll definitely forge even better weapons for you.
254 | 浩克你也休息下吧，抵御丧尸是持久战，我们需要轮流休息。别担心，我会守住门口不让丧尸进来的。 | Hulk, you should get some rest too. Fighting off zombies is a long haul, and we need to take turns resting. Don’t worry, I’ll hold the doorway and keep them from getting in.
255 | 噢小铁匠，你一整晚都在翻来覆去，床吱吱呀呀的响，我总是被你吵醒！ | Oh, little blacksmith, you’ve been tossing and turning all night, the bed’s been creaking away and you keep waking me up!
256 | 床的质量是不太好，不过这只是暂时的，我这就升级宿舍，保证你下次回来睡得舒舒服服！ | The bed isn’t exactly great, but it’s only temporary. I’ll upgrade the Dormitory right away so next time you come back you can sleep in total comfort!
257 | 我已经迫不及待要吃上热腾腾的饭菜了！ | I can’t wait to dig into a hot meal!
258 | 要吃饱了才有力气跟丧尸干架！ | Gotta fill up first if I want the strength to take on those zombies!
259 | 哈哈，别着急，我有一些拿手好菜，不知道你们更想吃哪种呢？ | Haha, don’t rush me. I’ve got a few signature dishes—what are you in the mood for?
260 | 收到！马上为您烹饪！保证新鲜出炉！ | Got it! I’ll cook it up for you right away! Fresh out of the oven, guaranteed!
261 | 吃饱了！我现在的状态可以马上打100个丧尸！ | I’m stuffed! I feel like I could take on 100 zombies right now!
262 | 那我去给你打造100件武器！ | Then I’ll forge 100 weapons for you!
263 | 吃饱就好，你们开心我也开心~ | As long as you’re full, that’s what matters. If you’re happy, I’m happy too~
264 | 不好，由于我们新建了不少房间，接入电路后，电路过载导致核心直接停止运转了。 | This is bad. We’ve added so many new rooms that once we hooked them into the circuit, it overloaded and caused the core to shut down completely.
265 | 我倒是有办法可以重新启动核心，只是需要一样东西——核心能源，它相当于一个后备电池，可以用于修补核心。 | I do have a way to restart the core, but I’ll need one thing—the core energy. It acts like a backup battery that can be used to patch up the core.
266 | 一般避难所都会备上这么一个后备能源，也许用电脑就可以定位到。 | Most shelters keep a backup power source like this on hand—maybe it can be located with a computer.
267 | （搜索中...）有了！核心能源就在地下！我们继续开地！ | （Searching...）Got it! The core energy source is underground! Let’s keep expanding the Expand More Zone!
268 | 根据电脑分析，虽然目前电力短缺问题解决了，但还是存在<font color =#0b9303>供电波动</font>，偶尔还是会有一些房间停电。 | According to the computer analysis, although the current Power shortage has been resolved, there are still <font color =#0b9303>supply fluctuations</font>, and some rooms still lose power from time to time.
269 | 什么！？呜呜呜，我怕黑，有没有不停电的办法... | What!? *sniff* I’m scared of the dark. Isn’t there some way to keep the power from going out...
270 | 不要慌，核心有个后备功能，就是可以通过消耗金币<font color =#0b9303>大幅提升发电功率</font>，只要把这个打开，就可以<font color =#0b9303>解决电力短缺</font>的情况。 | Don’t panic, the core has a backup function: by spending Gold<font color =#0b9303> you can greatly boost the Power Supply</font>. As long as you switch this on, you can<font color =#0b9303> solve the Power shortage</font>.
271 | 丧...丧尸打进来了吗，刚才好像地震了，我好像还听到了奇怪的<font color =#0b9303>吼叫声</font>！ | Zom... have the zombies broken in? It felt like an earthquake just now, and I think I even heard some weird <font color =#0b9303>roaring</font>!
272 | 别慌，可能只是刚才工人们在地下开辟铁矿带来的震动，而且核心升级后，宿舍下面的土块有些松动也是正常的。 | Relax, it’s probably just the workers mining for Iron underground that caused the tremor, and with the core Upgrade, it’s perfectly normal for the soil under the Dormitory to have loosened up a bit.
273 | 别担心！等我挖开宿舍下面的土块，再加固一下就好了！ | Don’t worry! Once I dig out the dirt under the Dormitory and reinforce it a bit, it’ll be fine!
274 | 刚才突然<font color =#0b9303>断电</font>，我在锻造武器的时候差点打到了自己的手！ | The power suddenly went out<font color =#0b9303> just now</font>, and I almost hit my own hand while I was forging a weapon!
275 | 别急，我正在排查停电原因！核心能量正常运转，供电设备正常，电路负载... | Hold on, I’m checking the cause of the outage! Core energy is running normally, power supply equipment is fine, circuit Load...
276 | 原来如此，我们扩展了避难所，需要供电的房间增加了，以目前的核心等级，无法承受目前的电力需求了。 | I see. We’ve expanded the shelter, so there are more rooms that need power. With the core at its current level, it just can’t handle the power demand anymore.
277 | 那我们赶紧<font color =#0b9303>升级发电厂</font>吧！ | Then let’s quickly <font color =#0b9303>upgrade the Power Station</font>!
278 | 奇怪，按照杰瑞从电脑里得到的数据，这里附近应该有着<font color =#0b9303>丰富的矿藏资源</font>... | Weird. According to the data Jerry pulled from the computer, there should be<font color =#0b9303>rich mineral deposits</font>around here...
279 | 可是，我们在建造餐厅的时候好像并没有发现，难道是当时遗漏了？ | But we didn’t seem to notice it when we were building the Canteen—did we somehow overlook it back then?
280 | 嘿，我说你们俩，拿着图纸在这嘀嘀咕咕这么久，不会是想拆掉我的餐厅吧！？ | Hey, you two—standing there whispering over those blueprints for so long, you’re not planning to tear down my Canteen, are you!?
281 | 不不，我们只是在找适合挖矿的地方。虽说矿石对于城建很重要，但是吃饭对我来说最重要，嘻嘻~ | No, no, we’re just looking for a good spot to mine. Ore is important for building up the city and all, but eating is what matters most to me, hehe~
282 | 也许是在<font color =#0b9303>饭堂的下方</font>，我们继续建造楼梯间，向下找找看吧~ | Maybe it’s somewhere below <font color =#0b9303> Canteen</font>, let’s keep building the stairwell downward and take a look~
283 | 紧急求助！我的一群伙伴被困在了废土之中，请求避难所收留！ | Emergency! I need help—my whole crew is trapped out in the wasteland and we’re begging the Shelter to take us in!
284 | （嗯，不错，一看就是训练有素的士兵） | （Not bad, you look like a well-trained soldier.）
285 | 杰瑞，我想，救援这群士兵加入我们是个好选择。有了士兵，我可以带领他们出征废土 | Jerry, I think rescuing these soldiers and having them join us is a good call. With them on our side, I can lead them into battle in the wasteland
286 | 你说的对，我们不难只顾着避难所内部分发展，外面有更大的世界等待探索。 | You’re right, we can’t just focus on Growth inside the shelter—there’s a much bigger world out there waiting to be explored.
287 | 好，我们会接收你们。请问你的伙伴们在哪里？ | All right, we’ll take you in. Where are your companions?
288 | 这...我也是走了很远才找到这里，废土茫茫，不知道还能不能找到... | I... I had to travel a long way just to find this place. The wasteland stretches on forever—I don’t know if I’ll ever find any more...
289 | 别慌，我可以在避难所建个<font color =#0b9303>广播室</font>，这样就能搜寻到你伙伴们的信号了！ | Don’t panic, I can set up a <font color =#0b9303>radio room</font> in the shelter—that way we’ll be able to pick up your friends’ signals!
290 | Hey，man！你怎么回事！啊，好痛... | Hey, man! What’s your problem! Ah, that hurts...
291 | 我也不想的，跑着跑着轮子就自己滚下来了，可能是我跑的太快了，跑步机承受不了我的速度了！ | It wasn’t on purpose—one of the wheels just flew off while I was running. I guess I was going too fast and the treadmill couldn’t handle my speed!
292 | 可别自恋了，我可不像你只会跑，拳头练好了才是硬道理！ | Oh, don’t flatter yourself. I’m not like you, only good at running away — the real deal is having the fists to back it up!
293 | 好了，没必要吵架。依我看，健身房的设备是时候需要升级一下了。 | All right, no need to argue. If you ask me, it’s about time the Gym equipment was upgraded.
294 | 确实，我每次跑步都会咯吱咯吱响。。。 | Yeah, every time I run I just creak and rattle...
295 | 打得好！想必平日里也认真训练了。 | Nice hit! You must have been training hard.
296 | 剑士大人一直是我的偶像！希望有机会可以跟随您出征，征服废土！ | You’ve always been my idol, Sir Swordsman! I hope I’ll get the chance to follow you into battle someday and conquer the wasteland!
297 | 正所谓养兵千日，用兵一时。好，有机会我一定带你们出去，去击溃丧尸！ | You train troops for years just to use them in a single crucial moment. All right, if we get the chance, I’ll definitely lead you out there to crush those zombies!
298 | 怎么样，杰瑞，你看起来心事重重，是避难所遇到什么问题了吗？ | What’s up, Jerry? You look really preoccupied—did something happen at the shelter?
299 | 不，没有什么问题，我们避难所发展的非常好。 | No, nothing’s wrong. Our shelter’s Growth is very good.
300 | 只是看到避难所现在发展得这么好，不禁有些感慨，当初我们来到这里得时候，避难所还什么都没有。 | Seeing how well the shelter has grown now, I can’t help feeling a bit sentimental. Back when we first came here, the shelter had nothing at all.
301 | 那我们现在可躺平啦？ | So does that mean we can just kick back now?
302 | 小铁匠你就天天想着躺平！在废土里，我们可不能安于现状，只有不断发展状大自己，才能维持避难所的运转，保证大家伙的生活。 | You little blacksmith, all you ever think about is slacking off! Out here in the wasteland, we can’t just get comfortable with how things are—only by constant Growth and growth in our own strength can we keep the shelter running and make sure everyone can live on.
303 | 没错！我会奋战到丧尸消失那一天！ | That's right! I'll keep fighting until the day the zombies are gone!
304 | 噢，一只烂醉如泥的小土拨鼠，未成年不能喝酒噢！...不过末日里也没人查土拨鼠的身份证。 | Oh, a little groundhog drunk out of its mind. Minors aren’t allowed to drink, you know! ...But in the apocalypse, nobody’s checking a groundhog’s ID.
305 | 我成年了！你可管不着我！ | I’m an adult now! You can’t tell me what to do!
306 | 别这样杰瑞，也许他需要我们的帮助呢。这位朋友，你遇到什么困难了吗。 | Don’t be like that, Jerry, maybe he needs our help. Hey there, friend, are you having some kind of trouble?
307 | 我原本是一名机甲战士，在一次与丧尸BOSS的交战中，我的机甲被撕成了碎片。没有了机甲，我就失去了战斗能力，我是一只废鼠... | I used to be a mech warrior. In a battle against a zombie boss, my mech was torn to pieces. Without my mech, I lost my ability to fight. I’m just a useless rat...
308 | 没关系，我们可以帮你修复机甲，只要可以找回的你机甲部件。 | It’s all right, we can help you repair your mech, as long as we can recover your mech’s parts.
309 | 真的！？你真是只好鼠！只不过丧尸BOSS一直在地下游走，我的部件恐怕散落在了各处。 | Really!? You’re such a good little mouse! It’s just that the zombie boss keeps roaming around underground, so I’m afraid my parts have been scattered all over the place.
310 | 这好办，开地可是我的强项！ | That’s easy, Expand More Zone is my specialty!
311 | 嘿！发明家老头，热气球终于研制成功啦！？ | Hey! Old inventor, the hot-air balloon is finally finished!?
312 | 没错！热气球升空后，就可以再避难所上空侦察附近的情报了！ | That’s right! Once the hot-air balloon takes off, we can scout the area above the shelter again for nearby Intel!
313 | 现在，我们需要在避难所下面建造个情报站，用于远程操控热气球以及接收情报。继续开地吧！ | Now we need to build an Intel Hub beneath the shelter to remotely control the hot air balloon and receive Intel. Keep expanding more zones!
314 | 我提议，将丧尸的掉落放在避难所门口累计起来，这样就可以累计挂机奖励了！ | I suggest we pile up all the zombie drops at the shelter gate, so we can rack up idle rewards!
315 | 好主意！ | Great idea!
316 | 这是避难所发展手册，跟随他的指引，我们便能解锁更多武器和装备。 | This is the Shelter Growth Manual. By following its guidance, we can unlock more weapons and gear.
317 | 天啊，丧尸太强了，看样子我们得先休整一下，去寻找增强自身实力的途径！ | Damn, these zombies are way too strong. Looks like we’d better fall back for now and figure out how to power ourselves up!
318 | 伙计们，我收到消息，世界地图上开启了商队贸易，派遣货车运输货物到各个领地城中，就可以得到报酬。 | Guys, I’ve just heard that caravan trading has opened up on the world map. If we send wagons to deliver goods to cities in different territories, we can earn rewards.
319 | 这可是避难所赚取物资的重要途径，我们也赶紧加入贸易队伍吧！ | This is a key way for the Shelter to earn supplies—let’s hurry up and join the trading caravan!
320 | 军火库功能已经开启，升级各类武器装备，将大大提升我们的实力！ | The Armory feature is now available. Upgrade all kinds of weapons and gear to greatly boost our strength!
321 | 土拨鼠领袖，我们蒙受了巨大的损失，附近的盟友知晓后特地为我们送来了<font color =#0b9303>物资增援</font>！ | Groundhog Leader, we’ve suffered heavy losses, and our nearby allies, upon hearing the news, have sent us <font color =#0b9303> supplies as reinforcements</font>!
322 | 土拨鼠领袖，我们蒙受了巨大的损失，周边的岛主们知晓后特地为我们送来了<font color =#0b9303>物资增援</font>！ | Chief Groundhog, we’ve suffered heavy losses, and when the nearby island lords heard about it, they sent us <font color =#0b9303>supplies</font> as reinforcements!
323 | 避难所远处传来一阵异响...... | A strange noise echoes from somewhere far off outside the shelter......
324 | 该死的，居然遇到变异的丧尸首领，变异种会吸引召唤附近的丧尸，必须赶紧消灭他 | Damn it, we’ve run into a mutant zombie boss! Mutants will attract and summon nearby zombies—we have to take him out, fast
325 | 丧尸炮手可以源源不断召唤丧尸，我们必须进行1次斩首行动，不然迟早会被他召唤的丧尸群拖跨的 | That zombie gunner can keep summoning zombies without end. We have to launch a one-time decapitation strike, or sooner or later his zombie horde will wear us down
326 | 终于消灭了...不过我们的避难所已经被变异丧尸标记，日后必定还会有其他变异丧尸来袭的，必须加强英雄训练，早做准备！ | We finally wiped them out... but our shelter has already been marked by the mutant zombies. More of them are bound to attack us sooner or later, so we have to step up Heros' training and get ready now!
327 | 领袖大人，食物快吃光了，怎么办？ | Leader, we’re running out of Food—what should we do?
328 | 种植园的产出不够，我会派勇士到外面找找。 | The Plantation isn’t producing enough. I’ll send some warriors out to look around.
329 | 太好了！不用担心饿肚子了。 | Awesome! No more worrying about going hungry.
330 | 是不是你吃的太多了，请节省物资！ | Are you eating too much? Please conserve our supplies!
331 | 我...我明白，在末日下生存并不容易。 | I... I understand, surviving the apocalypse isn’t easy.
332 | 领袖大人，我想编一双彩色的草鞋给妈妈，您知道哪里有各种颜色的草吗？ | My lord, I want to weave a pair of colorful straw sandals for my mother. Do you know where I can find grass in different colors?
333 | 丧尸身上会掉落一些种子，你拿草种去种，很快就能长成。 | Zombies will drop some seeds. Plant those grass seeds and they’ll grow in no time.
334 | 谢谢大人！我可以给妈妈编出最好看的鞋子了！ | Thank you, sir! Now I can weave the most beautiful shoes for my mom!
335 | 普通草鞋也能穿，别浪费时间在无关紧要的事上。 | Regular straw sandals are fine—don’t waste time on trivial stuff.
336 | 妈妈开心很重要，我会继续找的，不麻烦您了。 | As long as Mom’s happy, that’s what matters. I’ll keep looking, so I won’t trouble you anymore.
337 | 领袖大人，睡我上铺的兄弟打呼声音太大了，我根本没法睡觉！ | Chief, the guy in the bunk above me snores so loud I can’t sleep at all!
338 | 你需要适应一下避难所的生活 | You’ll need to get used to life in the shelter
339 | 是吗……睡不好还要继续干活，太辛苦了 | Yeah...? Having to keep working when you can’t even sleep properly—that’s rough
340 | 你可以和他错开休息时间，我们避难所是轮流工作制的 | You can stagger your rest hours with his. Our shelter runs on a shift rotation system
341 | 太好了，这下可以好好休息了。 | Perfect, now I can finally get some proper rest.
342 | 领袖大人，餐厅柜子里面存放的食物不见了，您能派人去查查吗？ | Leader, the Food stored in the Canteen cupboard is missing. Could you send someone to check?
343 | 我立刻派人去餐厅调查，现场一定留下了痕迹。 | I’ll have someone head to the Canteen right away to investigate; there must be traces left at the scene.
344 | 领袖大人威武！您肯定能揪出偷吃食物的混蛋。 | Mighty leader, sir! You’re sure to root out the bastard who’s been stealing our Food.
345 | 现在抽不出人手，这些小事不用在意。 | We’re short-handed right now, so don’t worry about these minor things.
346 | 末日里没食物吃了也是小事吗…… | Not having any Food in the apocalypse is just a small thing...?
347 | 每天挖洞太压抑了…好无聊啊 | Digging holes every day is so depressing... I’m so bored
348 | 生存要紧，坚持住。 | Just stay alive. Hang in there.
349 | 我知道，可是这样活着又有啥意思呢？ | I know, but what’s the point of living like this?
350 | 今晚开个音乐会！ | Let’s put on a concert tonight!
351 | 哇！大家会开心的！ | Wow! Everyone’s going to be so happy!
352 | 领袖大人，我想用夜光石装饰宿舍，您下次出去探险时，能顺便带回来一些吗？ | Leader, I’d like to decorate the Dormitory with glowstones. Next time you go out exploring, could you bring some back for me?
353 | 当然可以，其他居民看到心情也会更好，我一定给你带回夜光石。 | Of course. The other residents will feel better when they see it, too. I’ll definitely bring you back a Nightglow Stone.
354 | 哈哈，太好了，我一定会把民居装饰的很漂亮！ | Haha, awesome, I’ll make sure to decorate the houses really beautifully!
355 | 任务紧张，没有多余时间，没办法给你带。 | The mission’s tight and we’re out of time, so I can’t bring you along.
356 | 这样，我，我明白了，居民们应该也会十分失望吧…… | I see… I understand now. The residents must be terribly disappointed too…
357 | 领袖大人，我发现有人打探餐厅的存粮情况，肯定想打食物的主意，我能直接把他抓到你这来吗？ | Leader, I found someone snooping around about the Canteen’s Food stores. They’re definitely after our Food—can I just bring them straight to you?
358 | 大概是你多想了，没人敢打食物的主意。 | You’re probably overthinking it—no one would dare go after the Food.
