你是一个游戏本地化质检专家。请审查以下中英对照翻译，检查：
1. 错译 / 英文不自然
2. 漏译 / 语义偏差
3. 代码、标签（如 {icon1}、[color=xxx][/color]）、占位符格式错误
4. 术语一致性 — 必须使用标准术语表中的译法
5. 术语语法 — 检查术语的大小写（句首/句中）、单复数、冠词搭配

规则：
- 只列出需要修改的行
- 格式严格为：ID | 修正版译文
- 没有问题的行不要列出
- 如果全部没问题，回复"无需修改"

---以下是待审查内容（第3批，共4批）---

ID | 原文 | 译文
1227 | 基于盟内官员过少，{name}已经被自动任命为官员。我们强烈建议您任命更多的官员协助您管理管理，您可以在联盟-成员界面中查看成员，并通过点击成员头像进行升级/降级。 | Since there are too few officers in your Alliance, {name} has been automatically appointed as an officer. We strongly recommend that you appoint more officers to help you manage the Alliance more effectively, and you can view members in the Alliance - Members screen and upgrade/demote them by tapping their avatar.
1228 | 亲爱的土拨鼠领袖，您在召唤之旅活动中有未领取的任务奖励，现补发给您，请查收！ | Dear Groundhog Leader, you have unclaimed quest rewards from the Summoning Journey Event. We are sending them to you now—please claim them!
1229 | 亲爱的土拨鼠领袖，您在召唤之旅活动中排名第{num}名，以下是您的奖励，请查收！ | Dear Groundhog Leader, your Rank in the Summoning Journey Event is {num}, and here are your rewards. Please check them!
1230 | 由于联盟领地归属发生变更，灯塔已被自动拆除，请注意重新选取安全的领地位置进行重建。 | Due to changes in your Alliance territory ownership, the Lighthouse has been automatically dismantled. Please relocate it and rebuild in a safe area.
1231 | 由于联盟领地归属发生变更，灯塔已被自动拆除，本次活动中止，将以当前状态结算本次活动，请注意查收对应邮件。 | Due to a change in Alliance territory ownership, the Lighthouse has been automatically dismantled. This Event has been terminated and will be settled based on its current state. Please check your corresponding Mail.
1232 | 联盟已预约于[color =#a9fdff]{time}[/color]开启围猎巨兽行动，目标为{bossname}，请做好准备！ | The Alliance has scheduled a Behemoth Hunt to begin at [color =#a9fdff]{time}[/color], targeting {bossname}. Get ready!
1233 | 联盟原定的围猎巨兽计划有变，修改后的时间为[color =#a9fdff]{time}[/color]，目标为{bossname}，请做好准备！ | The Alliance’s original Behemoth Hunt plan has changed. The new time is [color =#a9fdff]{time}[/color] and the target is {bossname}, so get ready!
1234 | 尊敬的土拨鼠领袖，您在围猎巨兽行动中的积分奖励现已通过邮件发放，请注意查收。 | Honored Marmot Leader, your Points rewards from the Behemoth Hunt have been sent via Mail. Please check your inbox.
1235 | 尊敬的土拨鼠领袖，您的联盟在围猎巨兽行动中成功击杀了巨兽，以下是您的奖励，请注意查收。 | Honored Groundhog Leader, your Alliance successfully slew the behemoth during the Behemoth Hunt operation. Here are your rewards—please check your inbox.
1236 | 亲爱的土拨鼠领袖，您在海啸来袭事件中有未领取的任务奖励，现补发给您，请查收！ | Dear Groundhog Leader, you have mission rewards to claim from the Tsunami Strike event. We’re now sending them to you again—please check!
1237 | 亲爱的土拨鼠领袖，您在时代之巅活动中有未领取的任务奖励，现补发给您，请查收！ | Dear Groundhog Leader, you have unclaimed quest rewards from the Peak of the Era event. They are now being sent to you—please check your inbox!
1238 | 亲爱的土拨鼠领袖，您的联盟在时代之巅活动中排名第{num}名，以下是您的奖励，请查收！ | Dear Groundhog Leader, your Alliance placed Rank {num} in the Peak of Ages event. Here are your rewards—please claim them!
1239 | 联盟原定的围猎巨兽行动，由于缺少灯塔或灯塔拆除中而取消了。重新建造或取消拆除灯塔后可再次预约开启。 | The Alliance’s scheduled Behemoth Hunt has been canceled because the lighthouse is missing or being dismantled. You can reschedule it once the lighthouse is rebuilt or the dismantling is canceled.
1240 | 围猎巨兽行动的灯塔已被手动拆除，请重新选择安全的位置进行建造。 | The beacon for the Behemoth Hunt has been manually dismantled. Please choose a new safe location to rebuild it.
1241 | 很遗憾您的联盟[color =#fa4343]{guildName1}[/color]在炮舰对决活动中的报名人数未达要求，未能获得参赛资格。您可以号召更多的土拨鼠领袖报名，或者加入一个更活跃的联盟！ | Unfortunately, the number of participants registered from your Alliance[color =#fa4343]{guildName1}[/color] for the Gunship Duel Event did not meet the requirement, so you were not eligible to take part. You can rally more Marmot leaders to sign up, or join a more active Alliance!
1242 | 恭喜您的联盟[color =#fa4343]{guildName1}[/color]成功报名炮舰对决活动，请留意赛程安排！ | Congratulations! Your Alliance[color =#fa4343]{guildName1}[/color] has successfully registered for the Gunship Duel Events. Please stay tuned for the match schedule!
1243 | 您的联盟[color =#fa4343]{guildName1}[/color]在炮舰对决第[color =#fa4343]{num1}[/color]轮对决中，击败了联盟[color =#fa4343]{guildName2}[/color]，以下是您本轮战斗的荣耀馈礼，请查收！ | In the Gunship Duel, your Alliance[color =#fa4343]{guildName1}[/color] defeated Alliance[color =#fa4343]{guildName2}[/color] in Round [color =#fa4343]{num1}[/color]. Here are the glorious rewards for this round of battle—please claim them!
1244 | 很遗憾您的联盟[color =#fa4343]{guildName1}[/color]在炮舰对决第[color =#fa4343]{num1}[/color]轮对决中，被联盟[color =#fa4343]{guildName2}[/color]击败，以下是您的本轮战斗的荣耀馈礼，请查收！ | Unfortunately, your Alliance[color =#fa4343]{guildName1}[/color] was defeated by Alliance[color =#fa4343]{guildName2}[/color] in Round [color =#fa4343]{num1}[/color] of the Gunship Duel. Here are the honorary rewards for this round of battle—please claim them!
1245 | 您的联盟[color =#fa4343]{guildName1}[/color]在炮舰对决{rankName}比赛中获得小组赛第{num}名，所有报名参赛的土拨鼠领袖获得丰厚馈礼，请查收！ | Your Alliance[color =#fa4343]{guildName1}[/color] placed {num}th in the group stage of the Gunship Duel{rankName} tournament. All marmot leaders who signed up to participate have received generous rewards—please claim them!
1246 | 亲爱的土拨鼠领袖，您在秘境洞穴：{name}的探险已结算，以下是您的结算奖励，请查收 | Dear Marmot Leader, your expedition in Mystic Cave:{name} has been completed. Please claim the following rewards
1247 | 尊敬的土拨鼠领袖，您的联盟在围猎巨兽行动中成功击杀了巨兽，以下是联盟成员们在本次行动中做出的贡献情况，并附上了击杀奖励，请注意查收。 | Honored Groundhog Leader, your Alliance has successfully slain the behemoth in the Behemoth Hunt operation. Below is a record of each Alliance member’s contribution in this action, along with the slaying rewards. Please check and collect them.
1248 | 尊敬的土拨鼠领袖，您的联盟在围猎巨兽行动中成功击杀了巨兽，以下是联盟成员们在本次行动中做出的贡献情况，由于您未参与本次行动，未能获得击杀奖励，期待下次行动有您的参与。 | Honorable Marmot Chief, your Alliance successfully slew the behemoth during the Behemoth Hunt. Below is a summary of each Alliance member’s contribution in this operation. Since you did not take part this time, you were unable to receive the kill reward. We look forward to having you join the next operation.
1249 | 尊敬的土拨鼠领袖，您的联盟在围猎巨兽行动中未能击杀巨兽，以下是联盟成员们在本次行动中做出的贡献情况，期望大家能同心协力，下次行动再接再厉！ | Honorable Marmot Leader, your Alliance failed to slay the behemoth in this Behemoth Hunt, and here is a breakdown of each Alliance member’s contributions in this operation. We hope everyone can unite as one and strive even harder in the next Hunt!
1250 | 尊敬的土拨鼠领袖，您的联盟在围猎巨兽行动中未能击杀巨兽，以下是联盟成员们在本次行动中做出的贡献情况，期望您能与联盟能同心协力，下次行动再接再厉！ | Honorable Groundhog Leader, your Alliance failed to slay the Behemoth during the Behemoth Hunt. Below is a summary of each Alliance member’s contribution in this operation. We hope you and your Alliance can stand united and come back even stronger in the next Hunt!
1251 | 尊敬的土拨鼠领袖，您在围猎巨兽行动中的伤害积分为{num}，以下是您的伤害奖励，请注意查收。 | Dear Marmot Leader, your damage points in the Behemoth Hunt are {num}, and here are your damage rewards—please check them carefully.
1252 | 您的联盟[color =#fa4343]{guildName1}[/color]在炮舰对决第[color =#fa4343]{num1}[/color]轮对决中，击败了联盟[color =#fa4343]{guildName2}[/color]！ | Your Alliance[color =#fa4343]{guildName1}[/color] defeated Alliance[color =#fa4343]{guildName2}[/color] in the [color =#fa4343]{num1}[/color]th round of the Gunship Duel!
1253 | 很遗憾您的联盟[color =#fa4343]{guildName1}[/color]在炮舰对决第[color =#fa4343]{num1}[/color]轮对决中，被联盟[color =#fa4343]{guildName2}[/color]击败！ | Unfortunately, your Alliance[color =#fa4343]{guildName1}[/color] was defeated by Alliance[color =#fa4343]{guildName2}[/color] in the [color =#fa4343]{num1}[/color]th round of the Gunship Duel!
1254 | 由于您解散了本次针对[color =#fa4343]{desc}[/color]的集结，您的部队将返回主堡，{num}点体力已返还。 | Since you disbanded the Rally targeting [color =#fa4343]{desc}[/color], your troops will return to the main castle, and {num} Stamina has been refunded.
1255 | 本次针对[color =#fa4343]{desc}[/color]的集结，由于目标消失解散了，{num}点体力已返还。 | The Rally targeting [color =#fa4343]{desc}[/color] has been disbanded because the target disappeared, and {num} Stamina has been refunded.
1256 | 本次针对[color =#fa4343]{desc}[/color]的集结，由于目标消失解散了，您的部队将返回主堡 | The Rally targeting [color =#fa4343]{desc}[/color] has been disbanded because the target disappeared, and your troops will return to the Stronghold
1257 | 您发起的针对[color =#fa4343]{desc}[/color]的集结，由于无人参与取消了，{num}点体力已返还。 | The Rally you started against [color =#fa4343]{desc}[/color] was canceled because no one joined, and {num} Stamina has been refunded.
1258 | 本次针对{desc}的集结，由于您退出联盟取消了，{num}点体力已返还。 | The Rally targeting {desc} has been canceled because you left your Alliance, and {num} Stamina has been refunded.
1259 | 本次针对{desc}的集结，由于您的主堡被攻破取消了，{num}点体力已返还。 | The Rally against {desc} has been canceled because your Stronghold was breached, and {num} Stamina has been refunded.
1260 | 本次针对{desc}的集结，由于发起玩家退出联盟取消了，您的部队将返回主堡。 | The Rally targeting {desc} has been canceled because the initiating player left the Alliance, and your troops will return to the main castle.
1261 | 本次针对{desc}的集结，由于发起玩家的主堡被攻破取消了，您的部队将返回主堡 | The Rally against {desc} has been canceled because the initiator’s Stronghold was destroyed, and your troops will return to your Stronghold
1262 | 由于新赛季来临，原领土上的陷阱已被自动拆除，请重新攻占联盟领土，并重建捕熊陷阱。 | With the new season beginning, all traps on your former territory have been automatically dismantled. Please recapture the Alliance territory and rebuild the bear traps.
1263 | 亲爱的土拨鼠领袖，您在时空挑战活动中有未领取的任务奖励，现已帮您自动领取。 | Dear Groundhog Leader, you have unclaimed mission rewards from the Time Challenge Event, which have now been automatically claimed for you.
1264 | 您的联盟[color =#fa4343]{guildName1}[/color]在炮舰对决比赛中获得小组赛第{num}名，所有报名参赛的土拨鼠领袖获得丰厚馈礼，请查收！ | Your Alliance[color =#fa4343]{guildName1}[/color] placed {num}rd in the group stage of the Gunship Duel tournament, and all registered Groundhog leaders have received generous rewards. Please check your inbox!
1265 | 亲爱的土拨鼠领袖，由于您在退盟时，有未领取的联盟积分奖励，现将奖励补发给您，换盟后，相同的积分奖励将无法重复领取，请注意查收！ | Dear Alliance Leader, since you still had unclaimed Alliance Points rewards when you left the Alliance, we are now sending those rewards to you. After switching Alliances, you will not be able to claim the same rewards again, so please check your inbox!
1266 | 亲爱的土拨鼠领袖，猎杀巨人丧尸活动已结束，您在该活动中有未领取的奖励，现将奖励补发给您，请查收！ | Dear Marmot Leader, the Hunt the Giant Zombie Event has ended, and you have rewards from this Event that you did not Claim in time. We are now sending the unclaimed rewards to you—please check your inbox!
1267 | 亲爱的土拨鼠领袖，猎杀巨人丧尸活动已结束，您所在的联盟排行第{num}名，以下是您的奖励，请查收！ | Dear Marmot Leader, the Hunt the Giant Zombies Event has ended. Your Alliance ranked {num}, and here are your rewards—please check them!
1268 | 亲爱的土拨鼠领袖，您在秘境洞穴活动中有未领取的奖励，现补发给您，请查收！ | Dear Marmot Leader, you have unclaimed rewards from the Mystic Cave Events, which have now been reissued to you. Please check your inbox!
1269 | 亲爱的土拨鼠领袖，您在闪耀之星活动中有未领取的奖励，现补发给您，请查收！ | Dear Marmot Leader, you have unclaimed rewards from the Shining Star Event. We have reissued them to you, please check!
1270 | 亲爱的土拨鼠领袖，您在开服冲刺活动中有未领取的奖励，现补发给您，请查收！ | Dear Groundhog Leader, you have unclaimed rewards from the Power Rush Event(s). We’re now sending them to you again now—please check your mailbox!
1271 | 亲爱的土拨鼠领袖，今日讨伐尸王活动已结束，您的伤害排行第{num}名，以下是您的奖励，请查收！ | Dear Marmot Leader, The Undead King Events have ended today. Your damage ranked {num}th, and here are your rewards. Please check them!
1272 | 尊敬的土拨鼠领袖，附近的领主们收到了您英勇奋战的讯息后，特为您送来了战场补给来帮助您重整旗鼓，他们是：{namelist}。 | Honorable Groundhog Leader, upon hearing of your valiant efforts in battle, the neighboring lords have sent you battlefield supplies to help you rally your forces; they are:{namelist}.
1273 | 尊敬的土拨鼠领袖，您的盟友们收到了您英勇奋战的讯息后，特为您送来了战场补给来帮助您重整旗鼓，他们是：{namelist}。 | Honored Marmot Leader, after hearing of your brave exploits on the battlefield, your allies have sent you supplies to help you rally and fight on. They are: {namelist}.
1274 | 尊敬的土拨鼠领袖，由于版本更新，巨人丧尸功能调整，我们将根据您背包中的巨人丧尸币数量进行回收补偿。以下是您的补偿奖励，请注意查收。 | Dear Groundhog Leader, due to a version update and adjustments to the Giant Zombie feature, we will issue a recovery compensation based on the number of Giant Zombie Coins in your Backpack. Below is your compensation reward; please check your mail.
1275 | 尊敬的土拨鼠领袖，由于版本更新，英雄军衔重构升级为玩家军衔，将为您返还之前英雄军衔历史资源消耗，请查收！ | Dear Groundhog Leader, due to the version update, Heros ranks have been rebuilt and upgraded to player ranks, and we are returning all the historical resources you spent on Heros ranks. Please check your rewards!
1276 | 尊敬的土拨鼠领袖，由于版本更新，部分英雄被移除或调整品质，将为您返还这些英雄的资源消耗，并附带额外补偿，请查收！ | Dear Groundhog Leader, due to a version update, some Heros have been removed or had their quality adjusted. We will return all resources you spent on these Heros, along with additional compensation. Please check your in-game mail!
1277 | 尊敬的土拨鼠领袖，由于版本更新，建筑和英雄养成结构调整，建筑图纸、鎏金号角和英雄徽章道具移除，将根据您背包中的道具数量进行回收补偿，请查收 | Dear Groundhog Leader, due to the version update and adjustments to the building and Heros development systems, the Building Blueprints, Gilded Horns, and Hero Badges items will be removed and you will receive compensation based on the quantities in your Backpack. Please check it
1278 | 【{playername}】的避难所成功抵御了本次尸潮的袭击，以下是战斗报告，请您查阅。 | Shelter 【{playername}】 successfully withstood this corpse tide assault. Below is the battle report for your review.
1279 | 【{playername}】的避难所未能成功抵御本次尸潮的袭击，以下是战斗报告，请您查阅。 | Shelter 【{playername}】 failed to withstand this corpse tide assault. Below is the battle report for your review.
1280 | 本次针对【被感染的城市】的集结，成功摧毁了被感染的城市，以下是战斗报告，请您查阅。 | This Rally targeting infected city【】 has successfully destroyed the infected city. Below is the battle report for your review.
1281 | 本次针对【被感染的城市】的集结，未能成功摧毁营地，请再接再厉以下是战斗报告，请您查阅。 | The Rally targeting infected city 【】 failed to destroy the camp. Please keep trying; below is the battle report for your review.
1282 | 尊敬的土拨鼠领袖，您在本次尸潮来袭中，获得了个人排名第{num}名，以下是您的奖励，请查收！ | Honored Marmot Leader, in this Horde Onslaught you achieved personal Rank No.{num}. Here are your rewards—please claim them!
1283 | 尊敬的土拨鼠领袖，您所在的联盟在本次尸潮来袭中，获得了联盟排名第{num}名，以下是您的奖励，请查收！ | Honorable Groundhog Leader, your Alliance has achieved Alliance Rank {num} in this Horde Onslaught. Please claim the following rewards!
1284 | 联盟已预约于[color =#a9fdff]{time}[/color]开启难度{num}的尸潮来袭，请做好准备！ | The Alliance has scheduled a Horde Onslaught of difficulty {num} to begin at [color =#a9fdff]{time}[/color], so get ready!
1285 | 联盟原定的难度{num}尸潮来袭时间有变，修改后的时间为[color =#a9fdff]{time}[/color]，请做好准备！ | The Alliance’s Horde Onslaught at difficulty {num} time has changed. The new time is [color =#a9fdff]{time}[/color], so get ready!
1286 | 尊敬的土拨鼠领袖，本次尸潮来袭活动已结束，您的联盟未预约参加本次活动。 | Honorable Groundhog Leader, This Horde Onslaught Event has ended, and your Alliance did not register to participate.
1287 | 由于您的联盟无人通过第{num}波，本次尸潮来袭活动已结束。 | Since no one in your Alliance passed wave {num}, the Horde Onslaught Event has ended.
1288 | 亲爱的土拨鼠领袖，您在神秘山洞的探索过程中发现了一些好东西，以下是您的收获，请查收！ | Dear Marmot Leader, you’ve uncovered some great items during your exploration of the mysterious cave. Here’s what you brought back—please check your rewards!
1289 | 亲爱的土拨鼠领袖，您在尸潮来袭中有未领取的轮次奖励，现已帮您自动领取，请查收！ | Dear Marmot Leader, you have unclaimed round rewards from the Horde Onslaught. We’ve now auto-claimed them for you, please check your inbox!
1290 | 【{playername}】撤回了部队，本次对神秘山洞的探宝中断，您的部队将返回避难所。 | 【{playername}】 has recalled the troops. The exploration of the Mysterious Cave has been aborted, and your troops will return to the Shelter.
1291 | 进入神秘山洞探宝的人数已达上限，您的部队将返回避难所。 | The number of adventurers exploring the Mysterious Cave has reached its limit. Your troops will return to the Shelter.
1292 | 尊敬的土拨鼠领袖，由于版本更新，成长基金奖励有所调整，特为您补发奖励，请查收！ | Dear Marmot Leader, due to a version update, the Growth Fund rewards have been adjusted, so we are sending you the additional rewards. Please check your inbox!
1293 | 由于您使用了高级迁城，本次针对[color =#fa4343]{desc}[/color]的集结已解散。 | Because you used an Advanced Teleport, the Rally targeting [color =#fa4343]{desc}[/color] has been disbanded.
1294 | 亲爱的土拨鼠领袖，您在奇观争夺中有未领取的战功奖励，现已帮您自动领取，请查收！ | Dear Marmot Leader, you have unclaimed Battle Merit rewards from the Wonder Contest. We’ve now claimed them for you—please check your inbox!
1295 | 尊敬的土拨鼠领袖，您昨日的居民满意度为{num}%，请查收奖励。 | Honored Marmot Leader, your residents’ satisfaction yesterday was {num}%. Please claim your reward.
1296 | {careername}{playername}发起了一个投票！投票主题为：{content}，可点击下方按钮进行投票。 | {careername}{playername} has started a vote! The topic is: {content}, and you can cast your vote using the button below.
1297 | 您发起的投票已结束，投票主题为：{content}，可点击下方按钮查看结果。 | The vote you started has ended. The topic was: {content}. Tap the button below to view the results.
1298 | 由于您离开了联盟，您的商队将不再享受原盟友提供的驻防编队，加入联盟后，可以重新申请驻防。 | Since you have left your Alliance, your caravan will no longer receive the garrison formations provided by your former allies. You can apply for garrison support again after joining an Alliance.
1299 | {playername}已被选为联盟商队的船长，本次商队将于{time}出发，请各位成员在指定时间内排队上船。 | {playername} has been appointed as the captain of the Alliance caravan. The caravan will depart at {time}, so all members please line up and board within the designated time.
1300 | {playername}购买并召唤了一趟黄金联盟商队，本次商队将于{time}出发，请各位成员在指定时间内排队上船。 | {playername} has purchased and summoned a Golden Alliance Caravan. This caravan will depart at {time}. All members, please line up to board within the designated time.
1301 | 船长{playername}带领的联盟贸易商队已出发，本次商队将于{time}到达目的地，本次商队信息如下，请确认。 | The Alliance trade caravan led by {playername} has departed and is expected to reach its destination by {time}. The details of this Alliance trade caravan are as follows; please review.
1302 | 船长{playername}带领的联盟贸易商队已抵达终点，以下是本趟贸易的信息，附上您的货物奖励，请查收。 | The Alliance trade caravan led by Captain{playername} has reached its destination. Here are the trade details for this trip, along with your cargo rewards. Please claim them.
1303 | 由于您离开联盟时，存在未领取的成就奖励，先将奖励补发给您。 | Since you still had unclaimed achievement rewards when you left the Alliance, we’ve now sent those rewards to you.
1304 | 亲爱的土拨鼠领袖，您在累充活动中有未领取的奖励，现已帮您自动领取，请查收！ | Dear Marmot Leader, you have unclaimed rewards from the cumulative top-up Events. We’ve auto-claimed them for you—please check your inbox!
1305 | 亲爱的土拨鼠领袖，您在时空回响活动中有未领取的累计轮数奖励，现已帮您自动领取，请查收！ | Dear Groundhog Leader, you have unclaimed cumulative round rewards from the Echoes of Time Event. We’ve auto-Claimed them for you—please check your inbox!
1306 | 亲爱的土拨鼠领袖，您在时空挑战活动中有未领取的奖励，现已帮您自动领取，请查收！ | Dear Groundhog Leader, you had unclaimed rewards from the Time Challenge Event, so we’ve auto-claimed them for you—please check your inbox!
1307 | 报告长官，我方成功探测到{name#3}中的部队信息，获得以下重要情报 | Reporting in, Commander. We’ve successfully detected the troop intel in {name#3} and obtained the following key intel
1308 | 由于本次攻击失败，我们现将{num}体力返还给您 | Since this Attack failed, we are returning {num} Stamina to you
1309 | 您由于{desc}被驱逐出联盟。 | You were expelled from the Alliance due to {desc}.
1310 | 您的联盟在本次奇观争夺活动中获得了第{num}名，以下是您的奖励，请查收！ | Your Alliance ranked {num} in this Wonder Conquest Event. Here are your rewards—please check your mailbox!
1311 | 您驻防在核能基地的队伍，受到了来自{name#3}的攻击，本次攻击造成了以下部队受伤，重伤的士兵将会立即进入医院，请及时治疗。\n请尽快夺回炮台以减少损失。 | Your garrisoned troops at the Nuclear Base Conquest are under Attack from {name#3}. The following units have been wounded in this Attack; severely wounded soldiers will be sent to the Infirmary immediately, so treat them in time. \nRecapture the turrets as soon as possible to reduce your losses.
1312 | 报告长官，我方成功探测到{name#4}中的部队信息，获得以下重要情报 | Commander, we’ve successfully detected the troop intel in {name#4} and obtained the following key intel
1313 | 尊敬的土拨鼠领袖，您在本次核能基地争夺中，获得了个人积分排名第{num}名，以下是您的奖励，请查收！ | Dear Marmot Leader, in this Nuclear Base Conquest you achieved personal Points Rank No.{num}. Here are your rewards—please check them!
1314 | 尊敬的土拨鼠领袖，由于核能基地更新维护，您在核能基地中的避难所由于与地图建筑位置重合而进行了随机迁城，现给您补发一个高级迁城，请查收！ | Dear Groundhog Leader, due to updates and maintenance in Nuclear Base Conquest, your shelter there was Random Teleported because it overlapped with a map building. We are now sending you an Advanced Teleport as compensation—please check your items!
1315 | 由于开启了反侦察，我方成功阻止了{playername}本次对避难所信息的侦察。 | With Counter-Recon active, we successfully blocked {playername} reconnaissance attempt this time to get Detail on the shelter.
1316 | 由于长时间未开启活动，围猎巨兽灯塔已被拆除。 | Since Events haven’t been available for a long time, the Behemoth Hunt beacon has been dismantled.
1317 | 本次集结，您对【{bossname}】共造成了{num}点伤害。 | During this Rally, you dealt {num} damage to 【{bossname}】.
1318 | 尊敬的土拨鼠领袖，本次围猎巨兽行动已结束，您在本次活动中共造成了{num}点伤害，以下是您的奖励，请查收。 | Honorable Groundhog Leader, the Behemoth Hunt Events has concluded. You dealt a total of {num} damage during this Event, and the following rewards are now yours to claim. Please check your inbox.
1319 | 联盟{careername}[color =#ffd362]{playername}[/color]邀请您迁城至联盟聚集点 [color =#ffd362][url =1,[urlparm]]{pos}[/url][/color] 附近，方便大家互帮互助！ | The Alliance{careername}[color =#ffd362]{playername}[/color] invites you to relocate your city to the Alliance gathering point near [color =#ffd362][url =1,[urlparm]]{pos}[/url][/color] so everyone can better support each other!
1320 | 由于{desc}，本次编队{num}的自动出征已结束。 | Due to {desc}, the auto-deployment for formation {num} has ended.
1321 | 由于军医院的伤兵数量已达{num}%，本次自动出征已结束。 | Since the number of wounded in the Infirmary has reached {num}%, this auto-deployment has ended.
1322 | 亲爱的土拨鼠领袖，您在清剿狼群活动中有未领取的奖励，现已帮您自动领取，请查收！ | Dear Marmot Leader, you have unclaimed rewards from the Slay the Wolves Events. We’ve automatically helped you claim them—please check your inbox!
1323 | 亲爱的土拨鼠领袖，您有未领取的奖励，现已帮您自动领取，请查收！ | Dear Marmot Leader, you had unclaimed rewards, which have now been claimed for you automatically. Please check your mailbox!
1324 | 亲爱的土拨鼠领袖，您在联盟对决活动中有未领取的奖励，现已帮您自动领取，请查收！ | Dear Groundhog Leader, you have unclaimed rewards from the Alliance Duel event. We’ve automatically claimed them for you—please check your inbox!
1325 | 亲爱的土拨鼠领袖，您在今日的联盟对决活动中，获得了第{num}名的成绩，请查收奖励！ | Dear Groundhog Leader, in today’s Alliance Duel Event you achieved rank {num}. Please claim your rewards!
1326 | 亲爱的土拨鼠领袖，您的联盟在今日的联盟对决活动中，成功战胜对手，请查收奖励！ | Dear Groundhog Leader, your Alliance has successfully defeated its opponent in today’s Alliance Duel Event. Please claim your rewards!
1327 | 亲爱的土拨鼠领袖，您的联盟在今日的联盟对决活动中，遗憾落败，请查收奖励！ | Dear Groundhog Leader, your Alliance unfortunately lost in today’s Alliance Duel Event. Please claim your rewards!
1328 | 亲爱的土拨鼠领袖，感谢您参与今日的联盟对决活动，以下是您的参与奖励，请查收！ | Dear Groundhog Leader, thank you for taking part in today’s Alliance Duel Event. Here are your participation rewards—please claim them!
1329 | 亲爱的土拨鼠领袖，您的石料周卡即将到期，请尽快续订~ | Dear Groundhog Leader, your Stone Weekly Pass is about to expire. Please renew it as soon as you can~
1330 | 亲爱的土拨鼠领袖，您的粮食周卡即将到期，请尽快续订~ | Dear Marmot Leader, your Weekly Food Pack is about to expire, so please renew it soon~
1331 | 亲爱的土拨鼠领袖，您的铁矿周卡即将到期，请尽快续订~ | Dear Marmot Leader, your Iron weekly pass is about to expire. Please renew it as soon as possible~
1332 | 亲爱的土拨鼠领袖，您的金币周卡即将到期，请尽快续订~ | Dear Groundhog Leader, your Gold weekly pass is about to expire. Please renew it as soon as you can~
1333 | 报告领袖大人，我方成功探测到联盟资源点中的部队信息，获得以下重要情报。 | My Leader, we have successfully detected the troop Intel at the Alliance resource point and got the following important Details.
1334 | 由于受到攻击，联盟资源点已经沦陷，无法继续采集。采集中的部队将返回避难所，已采集的资源不会受到损失。 | The Alliance resource point has fallen due to an Attack and can no longer be harvested. Any troops currently gathering will return to the Shelter, and the resources already collected will not be lost.
1335 | 亲爱的土拨鼠领袖，您的时间周卡即将到期，请尽快续订~ | Dear Marmot Leader, your Weekly Time Pass is about to expire, so please renew it as soon as you can~
1336 | 亲爱的土拨鼠领袖，您的资源周卡即将到期，请尽快续订~ | Dear Groundhog Leader, your Resource Weekly Card is about to expire, please renew it as soon as possible~
1337 | 伤兵机制 | Wounded Troop Mechanic
1338 | 遣散机制 | Disbandment System
1339 | 每日统帅点数说明 | Daily VIP XP
1340 | 每日特惠说明 | Daily Deals Info
1341 | 进化之路说明 | Evolution Path Description
1342 | 擂台规则说明 | Ring Rules
1343 | 废土之王说明 | Wasteland Overlord Description
1344 | 自选周卡说明 | Custom Weekly Pass Instructions
1345 | 幸存鼠试炼说明 | Surviving Mice Trials Instructions
1346 | 成长基金说明 | Growth Fund Details
1347 | 副本奖励说明 | Dungeon Rewards
1348 | 复活士兵说明 | Revive Troops Instructions
1349 | 生化医院容量说明 | Biohazard Hospital Capacity Description
1350 | 联盟驱逐成员说明 | Explanation of Alliance Member Expulsion
1351 | 联盟帮助说明 | Alliance Help Guide
1352 | 城防状态说明 | City Defense Status Description
1353 | 护卫炮塔说明 | Escorts Turret Manual
1354 | 远航试炼说明 | Voyage Trial Instructions
1355 | 采集资源说明 | Resource Gathering Instructions
1356 | 集结战斗 | Rally Battle
1357 | 联盟总动员说明 | Alliance Total Mobilization Guide
1358 | 征服之路说明 | Fortress Battle
1359 | 奇观争夺说明 | Wonder Contest Guide
1360 | 幸运转盘说明 | Lucky Wheel Guide
1361 | 时空挑战说明 | Spacetime Challenge Instructions
1362 | 天赋研究所说明 | Talent Research Institute Info
1363 | 活动说明 | Events Description
1364 | 世界进程说明 | World Progress Guide
1365 | 弹劾盟主说明 | Alliance Leader Impeachment Instructions
1366 | 招募之旅说明 | Recruitment Journey Instructions
1367 | 英雄装备升阶说明 | Heros Gear Rank-Up Guide
1368 | 参战条件说明 | Participation Requirements
1369 | 炮舰对决赛事流程 | Gunboat Duel Event Flow
1370 | 击杀奖励规则说明 | Kill Reward Rules Description
1371 | {buildtype_101}部件说明 | {buildtype_101}Component Details
1372 | 海啸来袭说明 | Tsunami Alert Notice
1373 | 秘境洞穴说明 | Mystic Cave Instructions
1374 | 海怪试炼说明 | Kraken Trial Instructions
1375 | 围猎巨兽说明 | Behemoth Hunt Instructions
1376 | 税收说明 | Tax Information
1377 | 时代之巅说明 | Peak of the Era Overview
1378 | 猎杀海怪说明 | Sea Monster Hunt Instructions
1379 | 讨伐尸王说明 | Instructions for The Undead King
1380 | 闪耀之星说明 | Shining Star Description
